policy,b,q,mean,stdev,delta,max_P,utility,inertia,reliability
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.137078405,2.032402317,0.023101743,0.002239138,0.987265478,8.09113318497543,2.0895576787587387,0.9696969696969697,0.01999999999999999
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.120606895,3.279107081,0.047283014,0.001667307,0.933004963,9.50743783414925,0.40734778337733063,0.9696969696969697,0.06030000000000015
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.441488174,4.282712431,0.029902955,0.002356401,0.956077435,0.1777979409888981,0.4395122354745806,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.192153961,3.303471313,0.012662634,0.001903339,0.944372115,0.21752685132734287,0.229663811289664,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.27346266,2.300749941,0.035308018,0.003473691,0.946532542,4.009115454283361,0.46200410289782307,0.9696969696969697,0.10230000000000004
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.442207511,3.774622539,0.010554941,0.004276866,0.971660928,0.16506492422782545,0.7784063648315351,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.301653013,3.675816648,0.038389178,0.004053571,0.967774156,0.21689459251371032,0.3291327084333978,0.9696969696969697,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.294544863,4.117632055,0.019324335,0.003126413,0.937144188,0.18960548104356062,0.27293901900526896,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.185243083,2.174443764,0.02030081,0.001379383,0.97069502,5.937977062789654,1.0759127851530625,0.9797979797979798,0.030200000000000074
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.367531268,3.87841539,0.01499781,0.003251608,0.953348354,0.17679509998357615,0.4285914457587658,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.395311893,3.745014259,0.010634332,0.002105413,0.974595537,0.17095567989800015,0.7845104650343376,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.218720428,2.366604448,0.030723293,0.002640518,0.973965092,5.074930747191545,1.1446637757997462,0.9696969696969697,0.07030000000000002
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.372124109,2.224774819,0.024393224,0.004407756,0.93138692,0.21534608520908835,0.19968487730799403,0.9696969696969697,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.4436820694270813, 'radius': 0.6384247906930528, 'weight': 0.105715867789855}, {'center': 0.3856676154591921, 'radius': 0.4983382188541221, 'weight': 0.46148559539622996}, {'center': 0.222044013082443, 'radius': 1.3604509609784374, 'weight': 0.43279853681391495}]}",0.274826212,4.464517038,0.011347991,0.0035373,0.946362257,0.18401854886959626,0.32398105832735896,0.9797979797979798,1.0000000000000007
