policy,b,q,mean,stdev,delta,max_P,utility,inertia,reliability
"{'length': 3, 'rbfs': [{'center': 0.5274343395433585, 'radius': 1.9241936252253078, 'weight': 0.13891398909484112}, {'center': 0.4220126700168275, 'radius': 1.9234103104226674, 'weight': 0.16041104502423795}, {'center': 0.6567618459680586, 'radius': 1.7374893470195496, 'weight': 0.7006749658809209}]}",0.137078405,2.032402317,0.023101743,0.002239138,0.987265478,8.091114849652326,1.8951865432015509,0.98989898989899,0.030100000000000078
"{'length': 3, 'rbfs': [{'center': 0.5274343395433585, 'radius': 1.9241936252253078, 'weight': 0.13891398909484112}, {'center': 0.4220126700168275, 'radius': 1.9234103104226674, 'weight': 0.16041104502423795}, {'center': 0.6567618459680586, 'radius': 1.7374893470195496, 'weight': 0.7006749658809209}]}",0.120606895,3.279107081,0.047283014,0.001667307,0.933004963,9.507846610296971,0.2895675850619008,0.98989898989899,0.08039999999999994
"{'length': 3, 'rbfs': [{'center': 0.5274343395433585, 'radius': 1.9241936252253078, 'weight': 0.13891398909484112}, {'center': 0.4220126700168275, 'radius': 1.9234103104226674, 'weight': 0.16041104502423795}, {'center': 0.6567618459680586, 'radius': 1.7374893470195496, 'weight': 0.7006749658809209}]}",0.441488174,4.282712431,0.029902955,0.002356401,0.956077435,0.12009612721397417,0.21596858376114542,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.5274343395433585, 'radius': 1.9241936252253078, 'weight': 0.13891398909484112}, {'center': 0.4220126700168275, 'radius': 1.9234103104226674, 'weight': 0.16041104502423795}, {'center': 0.6567618459680586, 'radius': 1.7374893470195496, 'weight': 0.7006749658809209}]}",0.192153961,3.303471313,0.012662634,0.001903339,0.944372115,0.1686923512595992,0.1478357348995881,1.0,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.5274343395433585, 'radius': 1.9241936252253078, 'weight': 0.13891398909484112}, {'center': 0.4220126700168275, 'radius': 1.9234103104226674, 'weight': 0.16041104502423795}, {'center': 0.6567618459680586, 'radius': 1.7374893470195496, 'weight': 0.7006749658809209}]}",0.27346266,2.300749941,0.035308018,0.003473691,0.946532542,4.008227548076824,0.31687344688411184,0.98989898989899,0.1484000000000001
"{'length': 3, 'rbfs': [{'center': 0.5274343395433585, 'radius': 1.9241936252253078, 'weight': 0.13891398909484112}, {'center': 0.4220126700168275, 'radius': 1.9234103104226674, 'weight': 0.16041104502423795}, {'center': 0.6567618459680586, 'radius': 1.7374893470195496, 'weight': 0.7006749658809209}]}",0.442207511,3.774622539,0.010554941,0.004276866,0.971660928,0.08704215323372239,0.37032370814209276,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.5274343395433585, 'radius': 1.9241936252253078, 'weight': 0.13891398909484112}, {'center': 0.4220126700168275, 'radius': 1.9234103104226674, 'weight': 0.16041104502423795}, {'center': 0.6567618459680586, 'radius': 1.7374893470195496, 'weight': 0.7006749658809209}]}",0.301653013,3.675816648,0.038389178,0.004053571,0.967774156,0.18559851198937422,0.19969878921754572,1.0,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.5274343395433585, 'radius': 1.9241936252253078, 'weight': 0.13891398909484112}, {'center': 0.4220126700168275, 'radius': 1.9234103104226674, 'weight': 0.16041104502423795}, {'center': 0.6567618459680586, 'radius': 1.7374893470195496, 'weight': 0.7006749658809209}]}",0.294544863,4.117632055,0.019324335,0.003126413,0.937144188,0.13719079631755574,0.14658944142543912,1.0,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.5274343395433585, 'radius': 1.9241936252253078, 'weight': 0.13891398909484112}, {'center': 0.4220126700168275, 'radius': 1.9234103104226674, 'weight': 0.16041104502423795}, {'center': 0.6567618459680586, 'radius': 1.7374893470195496, 'weight': 0.7006749658809209}]}",0.185243083,2.174443764,0.02030081,0.001379383,0.97069502,5.938337137205582,0.8613681906922663,0.98989898989899,0.07780000000000002
"{'length': 3, 'rbfs': [{'center': 0.5274343395433585, 'radius': 1.9241936252253078, 'weight': 0.13891398909484112}, {'center': 0.4220126700168275, 'radius': 1.9234103104226674, 'weight': 0.16041104502423795}, {'center': 0.6567618459680586, 'radius': 1.7374893470195496, 'weight': 0.7006749658809209}]}",0.367531268,3.87841539,0.01499781,0.003251608,0.953348354,0.10815147304759695,0.22070267569629107,0.98989898989899,1.0000000000000007
